Organize,Month,P5,P25,P50,P75,P95
0,0,31.9,33.1,33.9,34.7,35.8
0,1,34.6,35.8,36.5,37.3,38.5
0,2,36.3,37.4,38.3,39.1,40.2
0,3,37.5,38.7,39.5,40.4,41.6
0,4,38.5,39.7,40.6,41.4,42.7
0,5,39.3,40.6,41.5,42.3,43.6
0,6,40.1,41.3,42.2,43.1,44.3
0,7,40.7,41.9,42.8,43.7,45
0,8,41.2,42.5,43.4,44.3,45.6
0,9,41.6,42.9,43.8,44.7,46
0,10,42,43.3,44.2,45.1,46.4
0,11,42.4,43.7,44.6,45.5,46.8
0,12,42.7,44,44.9,45.8,47.1
0,13,42.9,44.3,45.2,46.1,47.4
0,14,43.2,44.5,45.4,46.3,47.7
0,15,43.4,44.7,45.7,46.6,47.9
0,16,43.6,44.9,45.9,46.8,48.1
0,17,43.8,45.1,46.1,47,48.3
0,18,44,45.3,46.2,47.2,48.5
0,19,44.1,45.5,46.4,47.3,48.7
0,20,44.3,45.6,46.6,47.5,48.9
0,21,44.5,45.8,46.7,47.7,49
0,22,44.6,46,46.9,47.8,49.2
0,23,44.7,46.1,47,48,49.3
0,24,44.9,46.2,47.2,48.1,49.5
0,25,45,46.4,47.3,48.3,49.6
0,26,45.2,46.5,47.5,48.4,49.8
0,27,45.3,46.6,47.6,48.5,49.9
0,28,45.4,46.8,47.7,48.7,50
0,29,45.5,46.9,47.8,48.8,50.1
0,30,45.6,47,47.9,48.9,50.2
0,31,45.7,47.1,48,49,50.4
0,32,45.8,47.2,48.1,49.1,50.5
0,33,45.9,47.3,48.2,49.2,50.6
0,34,46,47.4,48.3,49.3,50.7
0,35,46.1,47.5,48.4,49.4,50.7
0,36,46.2,47.6,48.5,49.5,50.8
0,37,46.3,47.6,48.6,49.5,50.9
0,38,46.3,47.7,48.7,49.6,51
0,39,46.4,47.8,48.7,49.7,51.1
0,40,46.5,47.9,48.8,49.8,51.2
0,41,46.6,47.9,48.9,49.8,51.2
0,42,46.6,48,49,49.9,51.3
0,43,46.7,48.1,49,50,51.4
0,44,46.8,48.1,49.1,50.1,51.4
0,45,46.8,48.2,49.2,50.1,51.5
0,46,46.9,48.3,49.2,50.2,51.6
0,47,46.9,48.3,49.3,50.2,51.6
0,48,47,48.4,49.3,50.3,51.7
0,49,47.1,48.4,49.4,50.3,51.7
0,50,47.1,48.5,49.4,50.4,51.8
0,51,47.2,48.5,49.5,50.5,51.8
0,52,47.2,48.6,49.5,50.5,51.9
0,53,47.3,48.6,49.6,50.6,51.9
0,54,47.3,48.7,49.6,50.6,52
0,55,47.4,48.7,49.7,50.7,52
0,56,47.4,48.8,49.7,50.7,52.1
0,57,47.4,48.8,49.8,50.7,52.1
0,58,47.5,48.9,49.8,50.8,52.2
0,59,47.5,48.9,49.9,50.8,52.2
0,60,47.6,49,49.9,50.9,52.3
1,0,32.3,33.7,34.7,35.9,37.7
1,1,33.7,35.0,36.0,37.1,38.8
1,2,35.8,37.0,38.0,39.0,40.6
1,3,37.3,38.5,39.4,40.3,41.8
1,4,38.4,39.6,40.5,41.4,42.8
1,5,39.3,40.5,41.3,42.3,43.6
1,6,40.1,41.2,42.1,43.0,44.3
1,7,40.7,41.9,42.7,43.6,44.9
1,8,41.3,42.4,43.3,44.1,45.4
1,9,41.7,42.9,43.7,44.6,45.9
1,10,42.1,43.3,44.2,45.0,46.3
1,11,42.5,43.7,44.5,45.4,46.7
1,12,42.8,44.0,44.9,45.8,47.0
1,13,43.1,44.3,45.2,46.1,47.3
1,14,43.4,44.6,45.5,46.4,47.6
1,15,43.6,44.9,45.7,46.6,47.9
1,16,43.9,45.1,46.0,46.9,48.1
1,17,44.1,45.3,46.2,47.1,48.4
1,18,44.2,45.5,46.4,47.3,48.6
1,19,44.4,45.7,46.6,47.5,48.8
1,20,44.6,45.9,46.8,47.7,49.0
1,21,44.7,46.0,47.0,47.9,49.2
1,22,44.8,46.2,47.1,48.0,49.3
1,23,45.0,46.3,47.3,48.2,49.5
1,24,45.1,46.5,47.4,48.3,49.7
1,25,45.2,46.6,47.5,48.5,49.8
1,26,45.3,46.7,47.7,48.6,49.9
1,27,45.4,46.8,47.8,48.7,50.1
1,28,45.5,46.9,47.9,48.9,50.2
1,29,45.5,47.0,48.0,49.0,50.3
1,30,45.6,47.1,48.1,49.1,50.4
1,31,45.7,47.2,48.2,49.2,50.6
1,32,45.7,47.3,48.3,49.3,50.7
1,33,45.8,47.3,48.4,49.4,50.8
1,34,45.9,47.4,48.4,49.5,50.9
1,35,45.9,47.5,48.5,49.5,51.0
1,36,46.0,47.5,48.6,49.6,51.1
2,0,32.3,33.1,33.9,34.8,35.6
2,1,34.9,35.6,36.3,37.1,37.8
2,2,36.8,37.5,38.2,39,39.6
2,3,38.1,38.8,39.5,40.3,41
2,4,39.1,39.8,40.6,41.4,42.1
2,5,40,40.7,41.5,42.3,43
2,6,40.7,41.4,42.2,43,43.8
2,7,41.4,42.1,42.9,43.7,44.5
2,8,42,42.7,43.5,44.3,45
2,9,42.4,43.2,44,44.8,45.6
2,10,42.9,43.6,44.4,45.2,46
2,11,43.2,44,44.8,45.6,46.4
2,12,43.5,44.3,45.1,45.9,46.7
2,13,43.8,44.5,45.4,46.2,47
2,14,44.1,44.8,45.6,46.5,47.3
2,15,44.3,45,45.9,46.7,47.5
2,16,44.5,45.2,46.1,46.9,47.7
2,17,44.6,45.4,46.2,47.1,47.9
2,18,44.8,45.6,46.4,47.3,48.1
2,19,45,45.7,46.6,47.4,48.2
2,20,45.1,45.9,46.7,47.6,48.4
2,21,45.3,46.1,46.9,47.8,48.6
2,22,45.4,46.2,47.1,47.9,48.7
2,23,45.6,46.3,47.2,48.1,48.9
2,24,45.7,46.5,47.3,48.2,49
2,27,46,46.8,47.6,48.5,49.3
2,30,46.3,47.1,47.9,48.8,49.7
2,33,46.6,47.3,48.2,49.1,49.9
2,36,46.8,47.6,48.5,49.4,50.3
